Net Name,Tree ID,Depth,Node ID,Node Type,Pin Name,X,Y,Input Slew,Output Slew,Input Cap,Output Cap,Max Output Cap,Fanout,Resistance,Sink Count,Buffer Count,Parent Node ID,#Children,Buffer Order,Buffer Type,Buffer Reason,wire_length,total_wirelength
_09616_,0,0,0,Driver,_28927_/ZN,169.268,34.6895,-1,2.08284e-10,-1,1.28979e-14,1.14822e-14,3,11506.7,5,1,None,3,1,-1,-1,62235,61686
_09616_,0,1,1,Sink,_29138_/A,199.661,35.14,2.08284e-10,-1,1.67072e-15,-1,-1,0,-1,5,1,0,0,1,-1,-1,0,0
_09616_,0,1,2,Sink,_29144_/B1,197.788,35.4145,2.08284e-10,-1,1.647e-15,-1,-1,0,-1,5,1,0,0,1,-1,-1,0,0
_09616_,0,1,3,Buffer,max_cap894/A,169.268,34.6895,2.08284e-10,-1,1.77921e-15,6.87368e-15,1.21155e-13,3,1166.29,5,1,0,3,1,BUF_X2,max_cap,62235,0
_09616_,0,2,4,Sink,_28930_/A1,164.476,23.833,1.39978e-10,-1,9.18145e-16,-1,-1,0,-1,5,1,3,0,1,-1,-1,0,0
_09616_,0,2,5,Sink,_28935_/A,162.918,24.221,1.39978e-10,-1,1.67072e-15,-1,-1,0,-1,5,1,3,0,1,-1,-1,0,0
_09616_,0,2,6,Sink,_29023_/A,177.371,20.7825,1.39978e-10,-1,1.67072e-15,-1,-1,0,-1,5,1,3,0,1,-1,-1,0,0
_09607_,1,0,0,Driver,_28918_/ZN,169.93,31.9025,-1,2.11133e-10,-1,1.31738e-14,1.14822e-14,3,11506.7,55,10,None,3,10,-1,-1,52636,143289
_09607_,1,1,1,Sink,_29007_/B2,170.372,18.884,2.11133e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,0,0,10,-1,-1,0,0
_09607_,1,1,2,Buffer,wire903/A,170.798,18.879,2.11133e-10,-1,1.77921e-15,1.15472e-14,1.21155e-13,7,1166.29,55,10,0,7,10,BUF_X2,wire,28279,0
_09607_,1,1,3,Buffer,max_cap904/A,169.93,24.56,2.11133e-10,-1,1.77921e-15,9.25571e-15,1.21155e-13,6,1166.29,55,10,0,6,10,BUF_X2,max_cap,13099,0
_09607_,1,2,4,Sink,_29002_/B1,170.923,18.878,2.08998e-10,-1,1.647e-15,-1,-1,0,-1,55,10,2,0,9,-1,-1,0,0
_09607_,1,2,5,Sink,_29011_/A1,176.434,18.4475,2.08998e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,2,0,9,-1,-1,0,0
_09607_,1,2,6,Sink,_29017_/B1,176.228,17.9555,2.08998e-10,-1,1.647e-15,-1,-1,0,-1,55,10,2,0,9,-1,-1,0,0
_09607_,1,2,7,Sink,_29020_/B2,174.557,18.1065,2.08998e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,2,0,9,-1,-1,0,0
_09607_,1,2,8,Sink,_29025_/A1,176.458,18.7965,2.08998e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,2,0,9,-1,-1,0,0
_09607_,1,2,9,Sink,_29036_/B2,182.249,17.486,2.08998e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,2,0,9,-1,-1,0,0
_09607_,1,2,10,Buffer,max_cap902/A,182.249,17.5475,2.08998e-10,-1,1.77921e-15,1.14701e-14,1.21155e-13,7,1166.29,55,10,2,7,9,BUF_X2,max_cap,123,0
_09607_,1,2,11,Sink,_28924_/A1,164.645,24.56,2.9073e-11,-1,1.59903e-15,-1,-1,0,-1,55,10,3,0,10,-1,-1,0,0
_09607_,1,2,12,Sink,_28938_/A1,161.51,23.5325,2.9073e-11,-1,9.18145e-16,-1,-1,0,-1,55,10,3,0,10,-1,-1,0,0
_09607_,1,2,13,Sink,_28944_/A1,160.431,23.1305,2.9073e-11,-1,9.18145e-16,-1,-1,0,-1,55,10,3,0,10,-1,-1,0,0
_09607_,1,2,14,Sink,_28955_/A1,160.653,21.935,2.9073e-11,-1,9.18145e-16,-1,-1,0,-1,55,10,3,0,10,-1,-1,0,0
_09607_,1,2,15,Sink,_28963_/A,160.879,19.2945,2.9073e-11,-1,1.67072e-15,-1,-1,0,-1,55,10,3,0,10,-1,-1,0,0
_09607_,1,2,16,Buffer,max_cap895/A,160.879,19.2945,2.9073e-11,-1,1.77921e-15,1.11552e-14,1.21155e-13,7,1166.29,55,10,3,7,10,BUF_X2,max_cap,0,0
_09607_,1,3,17,Sink,_29032_/B1,182.421,17.5475,1.89936e-10,-1,1.647e-15,-1,-1,0,-1,55,10,10,0,8,-1,-1,0,0
_09607_,1,3,18,Sink,_29041_/A1,186.387,18.168,1.89936e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,10,0,8,-1,-1,0,0
_09607_,1,3,19,Sink,_29047_/B1,189.292,17.194,1.89936e-10,-1,1.647e-15,-1,-1,0,-1,55,10,10,0,8,-1,-1,0,0
_09607_,1,3,20,Sink,_29050_/B2,188.456,16.9735,1.89936e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,10,0,8,-1,-1,0,0
_09607_,1,3,21,Sink,_29056_/A2,192.819,15.9835,1.89936e-10,-1,9.41939e-16,-1,-1,0,-1,55,10,10,0,8,-1,-1,0,0
_09607_,1,3,22,Sink,_29058_/A2,192.495,16.246,1.89936e-10,-1,1.62122e-15,-1,-1,0,-1,55,10,10,0,8,-1,-1,0,0
_09607_,1,3,23,Buffer,max_cap901/A,192.819,15.9835,1.89936e-10,-1,1.77921e-15,1.10112e-14,1.21155e-13,6,1166.29,55,10,10,6,8,BUF_X2,max_cap,0,0
_09607_,1,3,24,Sink,_28965_/A1,160.264,18.777,9.7358e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,16,0,1,-1,-1,0,0
_09607_,1,3,25,Sink,_28974_/A,161.572,16.43,9.7358e-10,-1,1.67072e-15,-1,-1,0,-1,55,10,16,0,1,-1,-1,0,0
_09607_,1,3,26,Sink,_28976_/A1,160.989,15.896,9.7358e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,16,0,1,-1,-1,0,0
_09607_,1,3,27,Sink,_28981_/B1,163.387,18.1025,9.7358e-10,-1,1.647e-15,-1,-1,0,-1,55,10,16,0,1,-1,-1,0,0
_09607_,1,3,28,Sink,_28987_/B2,163.096,18.7885,9.7358e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,16,0,1,-1,-1,0,0
_09607_,1,3,29,Sink,_28990_/B1,165.651,17.797,9.7358e-10,-1,1.647e-15,-1,-1,0,-1,55,10,16,0,1,-1,-1,0,0
_09607_,1,3,30,Sink,_28994_/B2,164.952,17.577,9.7358e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,16,0,1,-1,-1,0,0
_09607_,1,4,31,Sink,_29061_/B1,195.979,17.766,2.037e-10,-1,1.647e-15,-1,-1,0,-1,55,10,23,0,7,-1,-1,0,0
_09607_,1,4,32,Sink,_29067_/B2,196.428,17.788,2.037e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,23,0,7,-1,-1,0,0
_09607_,1,4,33,Sink,_29074_/B2,197.055,15.0555,2.037e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,23,0,7,-1,-1,0,0
_09607_,1,4,34,Sink,_29089_/B2,195.551,15.3605,2.037e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,23,0,7,-1,-1,0,0
