Net Name,Tree ID,Depth,Node ID,Node Type,Pin Name,X,Y,Input Slew,Output Slew,Input Cap,Output Cap,Max Output Cap,Fanout,Resistance,Sink Count,Buffer Count,Parent Node ID,#Children,Buffer Order,Buffer Type,Buffer Reason,wire_length,total_wirelength
_09607_,0,0,0,Driver,_28918_/ZN,181.449,49.602,-1,2.22976e-10,-1,1.39183e-14,1.14822e-14,4,11506.7,55,10,None,4,10,-1,-1,34363,99619
_09607_,0,1,1,Sink,_29002_/B1,180.029,33.9895,2.22976e-10,-1,1.647e-15,-1,-1,0,-1,55,10,0,0,10,-1,-1,0,0
_09607_,0,1,2,Sink,_29007_/B2,179.131,33.554,2.22976e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,0,0,10,-1,-1,0,0
_09607_,0,1,3,Buffer,max_cap497/A,180.029,33.9895,2.22976e-10,-1,1.77921e-15,1.12559e-14,1.21155e-13,7,1166.29,55,10,0,7,10,BUF_X2,max_cap,0,0
_09607_,0,1,4,Buffer,max_cap498/A,179.131,37.922,2.22976e-10,-1,1.77921e-15,8.46169e-15,1.21155e-13,6,1166.29,55,10,0,6,10,BUF_X2,max_cap,10533,0
_09607_,0,2,5,Sink,_29011_/A1,183.186,33.663,2.05487e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,3,0,9,-1,-1,0,0
_09607_,0,2,6,Sink,_29017_/B1,184.475,32.9085,2.05487e-10,-1,1.647e-15,-1,-1,0,-1,55,10,3,0,9,-1,-1,0,0
_09607_,0,2,7,Sink,_29020_/B2,182.816,32.582,2.05487e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,3,0,9,-1,-1,0,0
_09607_,0,2,8,Sink,_29025_/A1,184.889,33.4755,2.05487e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,3,0,9,-1,-1,0,0
_09607_,0,2,9,Sink,_29032_/B1,187.874,33.4015,2.05487e-10,-1,1.647e-15,-1,-1,0,-1,55,10,3,0,9,-1,-1,0,0
_09607_,0,2,10,Sink,_29036_/B2,187.09,33.1945,2.05487e-10,-1,1.67685e-15,-1,-1,0,-1,55,10,3,0,9,-1,-1,0,0
_09607_,0,2,11,Buffer,max_cap496/A,187.874,33.4015,2.05487e-10,-1,1.77921e-15,1.11736e-14,1.21155e-13,7,1166.29,55,10,3,7,9,BUF_X2,max_cap,0,0
_09607_,0,2,12,Sink,_28924_/A1,177.863,37.922,2.05119e-10,-1,1.59903e-15,-1,-1,0,-1,55,10,4,0,10,-1,-1,0,0
_09607_,0,2,13,Sink,_28938_/A1,175.654,36.7165,2.05119e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,4,0,10,-1,-1,0,0
_09607_,0,2,14,Sink,_28944_/A1,175.536,36.6935,2.05119e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,4,0,10,-1,-1,0,0
_09607_,0,2,15,Sink,_28955_/A1,175.723,37.239,2.05119e-10,-1,9.18145e-16,-1,-1,0,-1,55,10,4,0,10,-1,-1,0,0
_09607_,0,2,16,Sink,_28963_/A,176.46,36.16,2.05119e-10,-1,1.67072e-15,-1,-1,0,-1,55,10,4,0,10,-1,-1,0,0
