Net Name,Tree ID,Depth,Node ID,Node Type,Pin Name,X,Y,Input Slew,Output Slew,Input Cap,Output Cap,Max Output Cap,Fanout,Resistance,Sink Count,Buffer Count,Parent Node ID,#Children,Buffer Order,Buffer Type,Buffer Reason,wire_length,total_wirelength
_09607_,0,0,0,Driver,_28918_/ZN,175.53,64.57,-1,3.58307e-11,-1,2.23665e-15,1.14822e-14,1,11506.7,55,11,None,1,11,-1,-1,84311,84246
_09607_,0,1,1,Buffer,wire129/A,174.734,60.218,3.58307e-11,-1,1.77921e-15,1.1586e-14,1.21155e-13,6,1166.29,55,11,0,6,11,BUF_X2,wire,39330,0
_09607_,0,2,2,Sink,_28924_/A1,173.416,53.007,2.21575e-10,-1,1.59903e-15,-1,-1,0,-1,55,11,1,0,11,-1,-1,0,0
_09607_,0,2,3,Sink,_28963_/A,172.914,51.6825,2.21575e-10,-1,1.67072e-15,-1,-1,0,-1,55,11,1,0,11,-1,-1,0,0
_09607_,0,2,4,Sink,_29002_/B1,174.464,49.4,2.21575e-10,-1,1.647e-15,-1,-1,0,-1,55,11,1,0,11,-1,-1,0,0
_09607_,0,2,5,Sink,_29007_/B2,173.712,49.0705,2.21575e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,1,0,11,-1,-1,0,0
_09607_,0,2,6,Buffer,max_cap127/A,174.464,49.4,2.21575e-10,-1,1.77921e-15,1.08976e-14,1.21155e-13,7,1166.29,55,11,1,7,11,BUF_X2,max_cap,0,0
_09607_,0,2,7,Buffer,max_cap128/A,172.914,51.087,2.21575e-10,-1,1.77921e-15,8.56522e-15,1.21155e-13,6,1166.29,55,11,1,6,11,BUF_X2,max_cap,7132,0
_09607_,0,3,8,Sink,_29011_/A1,176.607,50.0715,2.0188e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,6,0,9,-1,-1,0,0
_09607_,0,3,9,Sink,_29017_/B1,177.607,48.8155,2.0188e-10,-1,1.647e-15,-1,-1,0,-1,55,11,6,0,9,-1,-1,0,0
_09607_,0,3,10,Sink,_29020_/B2,176.353,48.584,2.0188e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,6,0,9,-1,-1,0,0
_09607_,0,3,11,Sink,_29025_/A1,177.428,49.1595,2.0188e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,6,0,9,-1,-1,0,0
_09607_,0,3,12,Sink,_29032_/B1,179.249,48.992,2.0188e-10,-1,1.647e-15,-1,-1,0,-1,55,11,6,0,9,-1,-1,0,0
_09607_,0,3,13,Sink,_29036_/B2,178.615,48.9415,2.0188e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,6,0,9,-1,-1,0,0
_09607_,0,3,14,Buffer,max_cap126/A,179.249,48.992,2.0188e-10,-1,1.77921e-15,1.08968e-14,1.21155e-13,7,1166.29,55,11,6,7,9,BUF_X2,max_cap,0,0
_09607_,0,3,15,Sink,_28955_/A1,172.125,51.087,2.00512e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,7,0,10,-1,-1,0,0
_09607_,0,3,16,Sink,_28965_/A1,171.32,49.855,2.00512e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,7,0,10,-1,-1,0,0
_09607_,0,3,17,Sink,_28976_/A1,169.744,49.699,2.00512e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,7,0,10,-1,-1,0,0
_09607_,0,3,18,Sink,_28990_/B1,171.982,49.366,2.00512e-10,-1,1.647e-15,-1,-1,0,-1,55,11,7,0,10,-1,-1,0,0
_09607_,0,3,19,Sink,_28994_/B2,170.98,48.9435,2.00512e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,7,0,10,-1,-1,0,0
_09607_,0,3,20,Buffer,max_cap119/A,171.431,51.087,2.00512e-10,-1,1.77921e-15,7.13206e-15,1.21155e-13,5,1166.29,55,11,7,5,10,BUF_X2,max_cap,9650,0
_09607_,0,4,21,Sink,_29041_/A1,180.367,51.669,1.91806e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,14,0,8,-1,-1,0,0
_09607_,0,4,22,Sink,_29047_/B1,181.439,51.43,1.91806e-10,-1,1.647e-15,-1,-1,0,-1,55,11,14,0,8,-1,-1,0,0
_09607_,0,4,23,Sink,_29050_/B2,180.32,50.761,1.91806e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,14,0,8,-1,-1,0,0
_09607_,0,4,24,Sink,_29056_/A2,180.814,52.3985,1.91806e-10,-1,9.41939e-16,-1,-1,0,-1,55,11,14,0,8,-1,-1,0,0
_09607_,0,4,25,Sink,_29058_/A2,180.92,53.1955,1.91806e-10,-1,1.62122e-15,-1,-1,0,-1,55,11,14,0,8,-1,-1,0,0
_09607_,0,4,26,Sink,_29061_/B1,182.549,52.5135,1.91806e-10,-1,1.647e-15,-1,-1,0,-1,55,11,14,0,8,-1,-1,0,0
_09607_,0,4,27,Buffer,max_cap125/A,181.439,51.43,1.91806e-10,-1,1.77921e-15,1.04077e-14,1.21155e-13,6,1166.29,55,11,14,6,8,BUF_X2,max_cap,0,0
_09607_,0,4,28,Sink,_28938_/A1,171.431,51.212,9.21336e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,20,0,1,-1,-1,0,0
_09607_,0,4,29,Sink,_28944_/A1,171.333,51.741,9.21336e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,20,0,1,-1,-1,0,0
_09607_,0,4,30,Sink,_28974_/A,170.887,51.4075,9.21336e-10,-1,1.67072e-15,-1,-1,0,-1,55,11,20,0,1,-1,-1,0,0
_09607_,0,4,31,Sink,_28981_/B1,170.529,51.665,9.21336e-10,-1,1.647e-15,-1,-1,0,-1,55,11,20,0,1,-1,-1,0,0
_09607_,0,4,32,Sink,_28987_/B2,169.65,51.8365,9.21336e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,20,0,1,-1,-1,0,0
_09607_,0,5,33,Sink,_29067_/B2,183.35,51.369,1.86711e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,27,0,7,-1,-1,0,0
