Net Name,Tree ID,Depth,Node ID,Node Type,Pin Name,X,Y,Input Slew,Output Slew,Input Cap,Output Cap,Max Output Cap,Fanout,Resistance,Sink Count,Buffer Count,Parent Node ID,#Children,Buffer Order,Buffer Type,Buffer Reason,wire_length,total_wirelength
_09607_,0,5,34,Sink,_29070_/B1,183.048,51.2335,1.86711e-10,-1,1.647e-15,-1,-1,0,-1,55,11,27,0,7,-1,-1,0,0
_09607_,0,5,35,Sink,_29074_/B2,182.458,50.7895,1.86711e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,27,0,7,-1,-1,0,0
_09607_,0,5,36,Sink,_29086_/B1,183.307,51.345,1.86711e-10,-1,1.647e-15,-1,-1,0,-1,55,11,27,0,7,-1,-1,0,0
_09607_,0,5,37,Sink,_29089_/B2,182.487,51.027,1.86711e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,27,0,7,-1,-1,0,0
_09607_,0,5,38,Buffer,max_cap124/A,183.307,51.2335,1.86711e-10,-1,1.77921e-15,8.39552e-15,1.21155e-13,5,1166.29,55,11,27,5,7,BUF_X2,max_cap,357,0
_09607_,0,6,39,Sink,_29096_/B2,188.9,51.2695,2.3672e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,38,0,6,-1,-1,0,0
_09607_,0,6,40,Sink,_29101_/A1,185.824,51.215,2.3672e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,38,0,6,-1,-1,0,0
_09607_,0,6,41,Sink,_29114_/B1,189.281,51.469,2.3672e-10,-1,1.647e-15,-1,-1,0,-1,55,11,38,0,6,-1,-1,0,0
_09607_,0,6,42,Sink,_29120_/B2,190.2,51.33,2.3672e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,38,0,6,-1,-1,0,0
_09607_,0,6,43,Buffer,max_cap123/A,186.395,51.2695,2.3672e-10,-1,1.77921e-15,9.42723e-15,1.21155e-13,6,1166.29,55,11,38,6,6,BUF_X2,max_cap,8009,0
_09607_,0,7,44,Sink,_29140_/A1,185.083,54.083,2.74084e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,43,0,5,-1,-1,0,0
_09607_,0,7,45,Sink,_29149_/B2,184.379,56.2,2.74084e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,43,0,5,-1,-1,0,0
_09607_,0,7,46,Sink,_29169_/B2,186.395,52.7045,2.74084e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,43,0,5,-1,-1,0,0
_09607_,0,7,47,Sink,_29186_/A,186.208,55.1405,2.74084e-10,-1,1.67072e-15,-1,-1,0,-1,55,11,43,0,5,-1,-1,0,0
_09607_,0,7,48,Sink,_29188_/A1,185.623,53.2495,2.74084e-10,-1,9.18145e-16,-1,-1,0,-1,55,11,43,0,5,-1,-1,0,0
_09607_,0,7,49,Buffer,max_cap122/A,186.395,52.7045,2.74084e-10,-1,1.77921e-15,9.58956e-15,1.21155e-13,6,1166.29,55,11,43,6,5,BUF_X2,max_cap,14805,0
_09607_,0,8,50,Sink,_29091_/B1,187.501,51.745,2.59865e-10,-1,1.647e-15,-1,-1,0,-1,55,11,49,0,4,-1,-1,0,0
_09607_,0,8,51,Sink,_29108_/A2,187.945,51.9865,2.59865e-10,-1,9.41939e-16,-1,-1,0,-1,55,11,49,0,4,-1,-1,0,0
_09607_,0,8,52,Sink,_29123_/A,187.656,52.111,2.59865e-10,-1,1.67072e-15,-1,-1,0,-1,55,11,49,0,4,-1,-1,0,0
_09607_,0,8,53,Sink,_29127_/B2,187.611,52.346,2.59865e-10,-1,1.62303e-15,-1,-1,0,-1,55,11,49,0,4,-1,-1,0,0
_09607_,0,8,54,Sink,_29182_/B2,187.07,52.3115,2.59865e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,49,0,4,-1,-1,0,0
_09607_,0,8,55,Buffer,max_cap121/A,186.906,52.7045,2.59865e-10,-1,1.77921e-15,8.53549e-15,1.21155e-13,5,1166.29,55,11,49,5,4,BUF_X2,max_cap,4374,0
_09607_,0,9,56,Sink,_29099_/A,187.54,53.021,1.89416e-10,-1,1.67072e-15,-1,-1,0,-1,55,11,55,0,3,-1,-1,0,0
_09607_,0,9,57,Sink,_29110_/A2,187.75,52.8615,1.89416e-10,-1,1.62122e-15,-1,-1,0,-1,55,11,55,0,3,-1,-1,0,0
_09607_,0,9,58,Sink,_29165_/B1,186.906,52.977,1.89416e-10,-1,1.647e-15,-1,-1,0,-1,55,11,55,0,3,-1,-1,0,0
_09607_,0,9,59,Sink,_29179_/B1,187.355,52.997,1.89416e-10,-1,1.647e-15,-1,-1,0,-1,55,11,55,0,3,-1,-1,0,0
_09607_,0,9,60,Buffer,max_cap120/A,187.583,53.021,1.89416e-10,-1,1.77921e-15,1.02355e-14,1.21155e-13,6,1166.29,55,11,55,6,3,BUF_X2,max_cap,654,0
_09607_,0,10,61,Sink,_29130_/B1,188.598,53.0845,2.03021e-10,-1,1.647e-15,-1,-1,0,-1,55,11,60,0,2,-1,-1,0,0
_09607_,0,10,62,Sink,_29134_/B2,189.232,52.6655,2.03021e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,60,0,2,-1,-1,0,0
_09607_,0,10,63,Sink,_29152_/B1,189.003,53.096,2.03021e-10,-1,1.647e-15,-1,-1,0,-1,55,11,60,0,2,-1,-1,0,0
_09607_,0,10,64,Sink,_29156_/B2,188.895,52.6435,2.03021e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,60,0,2,-1,-1,0,0
_09607_,0,10,65,Sink,_29172_/B1,188.248,53.2825,2.03021e-10,-1,1.647e-15,-1,-1,0,-1,55,11,60,0,2,-1,-1,0,0
_09607_,0,10,66,Sink,_29177_/B2,187.583,53.0515,2.03021e-10,-1,1.67685e-15,-1,-1,0,-1,55,11,60,0,2,-1,-1,0,0
_08651_,1,0,0,Driver,_27614_/ZN,180.321,82.214,-1,1.96155e-10,-1,1.14836e-13,2.67029e-14,2,4918.14,92,2,None,2,2,-1,-1,149254,164722
_08651_,1,1,1,Sink,_30673_/S,178.511,84.3755,1.96155e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,0,0,2,-1,-1,0,0
_08651_,1,1,2,Buffer,max_cap131/A,178.511,84.3755,1.96155e-10,-1,1.24108e-14,1.1309e-13,9.65576e-13,46,147.758,92,2,0,46,2,BUF_X16,max_cap,0,0
_08651_,1,2,3,Sink,_27617_/A3,197.732,88.454,3.91382e-10,-1,9.24115e-16,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,4,Sink,_27619_/A3,195.682,88.224,3.91382e-10,-1,1.6163e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,5,Sink,_27629_/B1,197.592,88.5105,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,6,Sink,_27644_/B1,197.926,89.1725,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,7,Sink,_27654_/B1,202.051,91.8515,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,8,Sink,_27659_/B1,199.372,92.0705,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,9,Sink,_27670_/A2,203.331,91.317,3.91382e-10,-1,1.58424e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,10,Sink,_27676_/B1,200.979,91.942,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,11,Sink,_27687_/A2,205.349,91.912,3.91382e-10,-1,1.58424e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,12,Sink,_27692_/B1,201.87,92.048,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,13,Sink,_27701_/B1,204.131,91.1325,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,14,Sink,_27711_/B1,199.762,90.732,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,15,Sink,_27717_/B1,201.495,90.5065,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,16,Sink,_27723_/B1,201.582,91.278,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,17,Sink,_27730_/B1,202.555,91.896,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,18,Sink,_27737_/B1,200.477,93.63,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,19,Sink,_27744_/B1,203.042,92.062,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,20,Sink,_27751_/B1,202.694,91.646,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,21,Sink,_27763_/B1,199.129,91.8925,3.91382e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,22,Sink,_27782_/A1,188.886,86.0315,3.91382e-10,-1,8.79747e-16,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,23,Sink,_30643_/S,178.419,88.837,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,24,Sink,_30644_/S,179.786,88.171,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,25,Sink,_30645_/S,182.77,87.856,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,26,Sink,_30646_/S,184.921,88.8465,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,27,Sink,_30647_/S,186.021,88.2685,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,28,Sink,_30649_/S,184.437,88.65,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,29,Sink,_30650_/S,182.921,90.6885,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,30,Sink,_30651_/S,185.132,91.6015,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,31,Sink,_30652_/S,184.243,91.274,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,32,Sink,_30653_/S,187.825,91.5425,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,33,Sink,_30655_/S,187.846,92.0335,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,34,Sink,_30656_/S,187.885,92.4225,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,35,Sink,_30657_/S,187.267,91.5355,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,36,Sink,_30658_/S,188.072,89.966,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,37,Sink,_30659_/S,185.345,91.648,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,38,Sink,_30661_/S,187.806,90.624,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,39,Sink,_30662_/S,187.415,91.3925,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,40,Sink,_30663_/S,186.225,95.274,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,41,Sink,_30664_/S,184.316,96.106,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,42,Sink,_30665_/S,187.76,93.5095,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,43,Sink,_30667_/S,188.298,93.4565,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,44,Sink,_30668_/S,180.372,94.167,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,45,Sink,_30672_/S,175.854,86.61,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,46,Sink,_30674_/S,177.819,86.779,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,47,Sink,_30675_/S,178.794,88.6695,3.91382e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,2,0,2,-1,-1,0,0
_08651_,1,2,48,Buffer,max_cap130/A,177.819,84.3755,3.91382e-10,-1,2.67039e-14,1.02732e-13,1.9043e-12,46,76.7787,92,2,2,46,2,BUF_X32,max_cap,149254,0
_08651_,1,3,49,Sink,_30207_/A1,130.857,67.699,8.57182e-10,-1,1.59029e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,50,Sink,_30208_/B1,136.995,78.2815,8.57182e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,51,Sink,_30223_/S,144.474,59.165,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,52,Sink,_30225_/S,134.49,79.123,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,53,Sink,_30236_/S,133.872,73.5715,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,54,Sink,_30255_/S,126.337,81.8765,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,55,Sink,_30267_/S,120.046,87.793,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,56,Sink,_30284_/S,136.275,81.3805,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,57,Sink,_30298_/S,137.115,79.9045,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,58,Sink,_30306_/S,136.141,80.5365,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,59,Sink,_30328_/S,133.262,78.5915,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,60,Sink,_30346_/S,131.02,78.2705,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,61,Sink,_30361_/S,133.169,88.0955,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,62,Sink,_30386_/S,129.798,93.186,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,63,Sink,_30388_/S,135.623,74.6135,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,64,Sink,_30407_/S,129.21,81.4135,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,65,Sink,_30423_/S,121.909,73.1165,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,66,Sink,_30442_/S,122.457,78.137,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,67,Sink,_30457_/S,129.598,87.2515,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,68,Sink,_30475_/S,128.561,83.3725,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,69,Sink,_30547_/S,133.691,75.8705,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,70,Sink,_30583_/S,136.395,75.55,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,71,Sink,_30590_/S,136.016,74.974,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,72,Sink,_30608_/S,125.171,84.0845,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,73,Sink,_30614_/B1,124.335,89.2855,8.57182e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,74,Sink,_30624_/B1,130.954,86.217,8.57182e-10,-1,1.66205e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,75,Sink,_30625_/S,141.372,72.3315,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,76,Sink,_30627_/S,133.238,69.1905,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,77,Sink,_30628_/S,129.65,74.3725,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,78,Sink,_30629_/S,143.527,78.258,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,79,Sink,_30630_/S,143.417,78.697,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,80,Sink,_30631_/S,145.288,77.4365,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,81,Sink,_30632_/S,141.186,75.323,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,82,Sink,_30633_/S,136.801,70.0675,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,83,Sink,_30634_/S,135.897,69.581,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,84,Sink,_30635_/S,137.477,71.255,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,85,Sink,_30636_/S,137.518,71.071,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,86,Sink,_30638_/S,137.575,69.6045,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,87,Sink,_30639_/S,139.303,73.332,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,88,Sink,_30640_/S,133.577,74.058,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,89,Sink,_30641_/S,132.013,74.286,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,90,Sink,_30642_/S,133.913,73.344,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,91,Sink,_30666_/S,162.772,76.9105,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,92,Sink,_30669_/S,167.111,81.467,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,93,Sink,_30670_/S,169.972,82.699,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_08651_,1,3,94,Sink,_30671_/S,170.73,83.9125,8.57182e-10,-1,1.91994e-15,-1,-1,0,-1,92,2,48,0,1,-1,-1,0,0
_03505_,2,0,0,Driver,_20496_/ZN,171.675,125.79,-1,2.4954e-10,-1,1.53823e-14,1.14822e-14,3,11506.7,6,2,None,3,2,-1,-1,94522,80527
_03505_,2,1,1,Sink,_22926_/A,165.947,114.408,2.4954e-10,-1,9.4642e-16,-1,-1,0,-1,6,2,0,0,2,-1,-1,0,0
_03505_,2,1,2,Sink,_27493_/A1,190.793,104.645,2.4954e-10,-1,1.71447e-15,-1,-1,0,-1,6,2,0,0,2,-1,-1,0,0
